Facility.DATIM,Facility.MESI
Alliance Santé de Borgne,Alliance Santé de Borgne
BEST office in Bombardopolis,NA
BEST office in Cap Haitian,NA
BEST office in Cayes,NA
BEST office in Gonaives,NA
BEST office in Jeremie,NA
BEST office in Port de Paix,NA
BEST office in Port-au-Prince,NA
CAL de Mole Saint Nicolas,Centre de Sante Mole Saint Nicolas
CBP Saint-Raphael,CBP Saint-Raphael
CEGYPEF,CEGYPEF
Centre de Christ-Roi,NA
Centre De Jean Denis,NA
Centre de Nutrition et de Santé Rosalie Rendue,Centre de nutrition et de sante Rosalie Rendue
Centre de Santé Anse-à-Foleur,Centre de Santé Anse-à-Foleur
Centre de Santé Baie-de-Henne,NA
Centre de Santé Belle-Anse,NA
Centre de Sante Bois De Laurence,CS Bois de laurence
Centre de Santé Bois de Laurence,CS Bois de laurence
Centre de Santé Croix-des-Missions,Centre de sante de la croix des missions
Centre de Santé de Bainet,Centre de Santé de Bainet
Centre de Santé de Cabaret,Centre de Santé de Cabaret
Centre de Santé de Capotille,Centre de Santé de Capotille
Centre de Santé de Carice,Centre de Santé de Carice
Centre de Santé de Cerca la Source,Centre de Santé de Cerca la Source
Centre de Santé de la Croix-des-Bouquets,Centre de Santé de la Croix-des-Bouquets
Centre de Santé de L'Asile,CS DE L'Asile
Centre de Santé de Maissade,Centre de Santé de Maissade
centre de sante de Mare rouge,NA
Centre de Santé de Marigot,Centre de Santé de Marigot
Centre de Santé de Marmelade,Centre de Santé de Marmelade
Centre de Santé de Mont-Organisé,Centre de Santé de Mont-Organisé
Centre de Santé de Pestel,NA
Centre de Santé de Petit-Trou de Nippes,Cal de Petit Trou de Nippes
Centre de Santé de Port Margot,Centre de Santé de Port Margot
Centre de Santé de Quatre Chemins,NA
Centre de Santé de Raboteau,Centre de Santé de Raboteau
Centre de Santé de Rousseau OSAPO,Centre de sante Rousseau (OSAPO)
Centre de Santé de Terrier Rouge,Centre de Santé de Terrier Rouge
Centre de Santé de Thiotte,Centre de Santé de Thiotte
Centre de Santé de Thomonde,Centre de Santé de Thomonde
Centre de Santé de Trou du Nord,HCR Trou du Nord
Centre de Santé du Bel-Air,CS du Bel-Air
Centre de Santé Emmanuel de Cayes-Jacmel,NA
Centre de Santé Ile-à-Vache,Centre de Santé Ile-à-Vache
Centre de Santé Jules Fleury de l' Anse-à-Veau,Centre de Santé Jules Fleury de l' Anse-à-Veau
Centre de Santé K-Soleil,Centre de Santé K-Soleil
Centre de Santé la Fossette,Centre de Santé la Fossette
Centre de Santé Léon Coicou,NA
Centre de Santé Les Anglais,Centre de Santé Les Anglais
Centre de Santé Lucelia Bontemps,Centre de Santé Lucelia Bontemps
Centre de Santé Lumière (FINCA),Centre de Santé Lumière (FINCA)
Centre de Santé Marie Curie,Centre de Santé Marie Curie
Centre de Santé Mombin-Crochu,NA
Centre de Santé Petite Place Cazeau,Centre de Santé Petite Place Cazeau
Centre de Santé Pierre Payen,Centre de Santé Pierre Payen
Centre de Santé Portail Léogâne,Centre de Santé Portail Léogâne
Centre de Santé Sainte-Agnès Citimed de Beaumont,NA
Centre de Santé Sainte-Hélène,Centre de Santé Sainte-Hélène de Jérémie
Centre de Santé Sainte-Suzanne,Centre de Santé Sainte-Suzanne
Centre de Santé Saint-Joseph des Abricots,Centre de Santé Saint-Joseph des Abricots
Centre de Santé Saint-Joseph des Côtes-de-Fer,NA
Centre de Santé Saint-Louis du Sud,NA
Centre de Santé Saint-Michel de Boucan-Carré,Centre de Santé Saint-Michel de Boucan-Carré
Centre de Santé Saint-Michel de Fontamara,CS Saint Michel de Fontamara
Centre de Santé Saint-Michel de l'Attalaye,Centre de Santé Saint-Michel de l'Attalaye
Centre de Solino,NA
Centre Hospitalier Christ pour Tous,Hopital Christ pour Tous de Fonds Parisien
Centre Hospitalier d'Arcachon 32,Centre Hospitalier d'Arcachon 32
Centre Hospitalier Dr Harry Bordes de Beudet,HCR Ary Bordes Beudet
Centre Hospitalier Eliazar Germain,Centre Hospitalier Eliazar Germain
Centre Jeunes de Bois Neuf,NA
Centre Jeunes de Boston,NA
Centre Jeunes de Cap-Haïtien,NA
Centre Jeunes de Carrefour,NA
Centre Jeunes de Carrefour -euilles,NA
Centre Jeunes de Delmas 33,NA
Centre Jeunes de Fort-Liberté,NA
Centre Jeunes de Gonaïves,NA
Centre Jeunes de Jacmel,NA
Centre Jeunes de Jérémie,NA
Centre Jeunes de Lalue,NA
Centre Jeunes de Miragoâne,NA
Centre Jeunes de Pétion-Ville,NA
Centre Jeunes de Port-de-Paix,NA
Centre Jeunes des Cayes,NA
Centre Jeunes Plaine du Cul-de-Sac,Centre jeunes Plaine du cul de sac
Centre Lakay Cap-Haïtien,Centre Lakay Cap-Haitien
Centre Lakay de Carrefour,Centre Lakay de Carrefour
Centre lakay de Delmas 19,Centre Lakay de Delmas 19
Centre Lakay de Mariani,NA
Centre Lakay de Miragoâne,NA
Centre Lakay de Ouanaminthe,Centre Lakay de Ouanaminthe
Centre Lakay de Pétion-Ville,Centre Lakay de Pétion-Ville
Centre Lakay de Petit Goave,NA
Centre Lakay de Port-de-Paix,Centre Lakay de Port-de-Paix
Centre Lakay de Saint-Marc,Centre Lakay de Saint-Marc
Centre Lakay des Cayes,Centre Lakay des Cayes
Centre Lakay des Gonaives,Centre Lakay des Gonaives
Centre Lakay Grand-Rue,Centre Lakay Grand-Rue
Centre Lakay Lalue,NA
Centre Médical Beraca,Centre Médical Beraca
Centre Médical Charles Colimon,Centre Médical Charles Colimon
Centre Médico-Social de Ouanaminthe,Centre Médico-Social de Ouanaminthe
CEPOZ Centre Espoir,CEPOZ Centre Espoir
CEPOZ Domus Mariae,CEPOZ Domus Mariae
CERMICOLE,NA
CHAPI,CHAPI
CHOSCAL Centre Hospitalier Sainte-Catherine Labouré,CHOSCAL Centre Hospitalier Sainte-Catherine Labouré
Clinique Bethel de Fonds des Nègres,Clinique Bethel de Fonds des Negres
Clinique communautaire de Bizoton,NA
Clinique Communautaire de Delmas 75,Clinique Communautaire de Delmas 75
Clinique Communautaire de Martissant,Clinique Communautaire de Martissant
Clinique de la fondation SEROvie,NA
Clinique Médicale Bethesda de Vaudreuil,Clinique Medicale Bethesda DE Vaudreui
Clinique Médico-Chirurgical de Dugue,Clinique Médico-Chirurgical de Dugue
Clinique Saint-Francois d'Assise,Clinique Saint-Francois d'Assise
Clinique Saint-Paul de Montrouis,Clinique Saint-Paul de Montrouis
CMP Progressio,NA
CPFO,CPFO-Centre Promotions pour les Femmes Ouvrieres
CSL St Paul de Montrouis,Clinique Saint-Paul de Montrouis
Dispensaire de Bahot,NA
Dispensaire de Coupe à l'Inde,Dispensaire de Coupe à l'Inde
Dispensaire de Ferrier,Dispensaire DE FERRIER
Dispensaire de Jacquezil,Dispensaire de Jacquezyl
Dispensaire de la source,NA
Dispensaire de Limonade,NA
Dispensaire de Saurel,NA
Dispensaire du Sacré-Coeur Charpentier,Dispensaire du Sacré-Coeur Charpentier
Dispensaire Mic de Chantal,Dispensaire Mic de Chantal
Dispensaire Roy Sec,NA
Dispensaire Sainte-Claire d'Assise,Dispensaire Sainte-Claire d'Assise
FEBS,NA
Grenier OBDC/Laboule 12,Grenier OBDC/Laboule 12
Hopital Adventiste d'Haiti de Diquini,NA
Hôpital Alma-Mater,Hôpital Alma-Mater
Hôpital Bernard Mevs,Hôpital Bernard Mevs
Hôpital Bienfaisance de Pignon,Hôpital Bienfaisance de Pignon
Hôpital Bon Samaritain,NA
Hopital Bon Samaritain de Bassin Bleu,NA
Hôpital Bon Sauveur de Cange,Hôpital Bon Sauveur de Cange
Hôpital Claire Heureuse de Marchand Dessalines,Hôpital Claire Heureuse de Marchand Dessalines
Hopital Communautaire Autrichien Haitien,NA
Hôpital Communautaire De Bon Repos,Hopital communautaire de Reference de bon repos
Hôpital Communautaire de Mirebalais,Hopital Universitaire de Mirebalais
Hôpital Communautaire de Référence de Port Salut,Hôpital Communautaire de Référence de Port Salut
Hopital de Bon Repos,Hopital communautaire de Reference de bon repos
Hôpital de Carrefour,Hôpital de Carrefour
Hôpital de Fermathe,Hôpital de Fermathe
Hôpital de Fort-Liberté,Hôpital de Fort-Liberté
Hôpital de la Communauté Dame-Marienne,Hôpital de la Communauté Dame-Marienne
Hôpital de la Communauté Haitienne,Hôpital de la Communauté Haitienne
Hôpital de l'Université d'Etat d'Haiti(HUEH),Hôpital de l'Université d'Etat d'Haiti(HUEH)
Hôpital Dumarsais Estimé,Hôpital Dumarsais Estimé
Hôpital Espérance de Pilate,Hopital Esperance de Pilate
Hôpital Evangélique de Bombardopolis,Hôpital Evangélique de Bombardopolis
Hôpital Fort Saint-Michel,Hôpital Fort Saint-Michel
Hôpital Foyer Saint-Camille,Hôpital Foyer Saint-Camille
Hôpital Grande-Rivière du Nord,Hôpital Grande-Rivière du Nord
Hôpital Immaculée Conception des Cayes,Hôpital Immaculée Conception des Cayes
Hôpital Immaculée Conception Port-de-Paix,Hôpital Immaculée Conception Port-de-Paix
Hôpital la Colline de Lascahobas,Hôpital la Colline de Lascahobas
Hôpital La Providence des Gonaïves,Hôpital La Providence de Gonaïves
Hôpital Lumière Bonne Fin,Hôpital Lumière Bonne Fin
Hôpital Nicolas Armand,Hôpital Nicolas Armand
Hôpital Notre-Dame de la Nativité de Belladère,Hôpital Notre-Dame de la Nativité de Belladère
Hôpital Notre-Dame de la Paix de Jean-Rabel,Hôpital Notre-Dame de la Paix de Jean-Rabel
Hôpital Notre-Dame de Petit-Goâve,Hôpital Notre-Dame de Petit-Goâve
Hôpital Sacré-Coeur de Milot,Hôpital Sacré-Coeur de Milot
Hopital Saint Francois de Sales,Hopital Saint Francois de Sales
Hôpital Saint-Antoine de Jérémie,Hôpital Saint-Antoine de Jérémie
Hôpital Saint-Boniface Fonds des Blancs,Hôpital Saint-Boniface Fonds des Blancs
Hôpital Saint-Damien Nos Petits Frères et Soeurs,Hopital Saint-Damien nos petits freres et soeurs
Hopital Sainte Croix,NA
Hôpital Sainte-Anne de Camp-Perrin,Hôpital Sainte-Anne de Camp-Perrin
Hôpital Sainte-Thérèse de Hinche,Hôpital Sainte-Thérèse de Hinche
Hôpital Sainte-Thérèse de Miragoâne,Hôpital Sainte-Thérèse de Miragoâne
Hôpital Saint-Jean de Limbé,Hôpital Saint-Jean de Limbé
Hôpital Saint-Michel de Jacmel,Hôpital Saint-Michel de Jacmel
Hôpital Saint-Nicolas de Saint-Marc,Hôpital Saint-Nicolas de Saint-Marc
Hopital Toussaint Louverture d'Ennery,NA
Hôpital Universitaire Justinien,Hôpital Universitaire Justinien
Hôpital Universitaire la Paix,Hôpital Universitaire la Paix
Hôpital Wesleyen de la Gonâve,Hôpital Wesleyen de la Gonâve
ICC Grace Children's Hospital,ICC Grace Children's Hospital
Institut de Dermatologie et des Maladies Infectieuses,Institut de Dermatologie et des maladies infectieuses
Institut des Maladies Infectieuses et Santé de la Reproduction (IMIS),Institut des Maladies Infectieuses et Santé de la Reproduction (IMIS)
Klinik Lafanmy,Klinik Lafanmy
Klinik Pep Bondye,Klinik Pep Bondye
Klinik Santé Fanm,NA
Klinik Solidarite,Klinik Solidarite
Klinik Timoun nou yo,NA
Les Centres Gheskio -INLR,Les Centres GHESKIO -INLR
Maternité Isaie Jeanty,Maternité Isaie Jeanty
Mennonite Carnifice,NA
Mennonite de Croix-des-Bouquets,Mennonite de Croix-des-Bouquets
Notre-Dame des Palmistes,Hopital Notre Dame des Palmistes
Oeuvres de Bienfaisance de Carrefour et de Gressier,Oeuvres de Bienfaisance de Carrefour et de Gressier
POZ - Montrouis,POZ-Montrouis
POZ - Port-au-Prince,NA
Prison Civile de Hinche,Prison civile de Hinche
Prison Civile de Pétion-Ville,NA
Prison Civile de Port-au-Prince,Prison civile de PAP
Prison Civile des Cayes,Prison civile des Cayes
Prison Civile du Cap-Haïtien,Prison civile du Cap Haitien
SADA - Matheux,SADA - Matheux
Sanatorium de Port-au-Prince,Sanatorium de Port-au-Prince
Sanatorium de Sigueneau,Sanatorium de Sigueneau
SCMS Central  Warehouse,NA
SEROVIE,NA
Serovie Cap haitien,NA
Serovie Gonaives,NA
SSPE de Saint-Marc,SSPE de Saint-Marc
